,Volume,mom,mom1,mom2,mom3,ROC_5,ROC_10,ROC_15,ROC_20,EMA_10,EMA_20,EMA_50,EMA_200,DTB4WK,DTB3,DTB6,DGS5,DGS10,Oil,Gold,DAAA,DBAA,GBP,JPY,CAD,CNY,AAPL,AMZN,GE,JNJ,JPM,MSFT,WFC,XOM,FCHI,FTSE,GDAXI,GSPC,HSI,DJI,SSEC,RUT,NYSE,TE1,TE2,TE3,TE5,TE6,DE1,DE2,DE4,DE5,DE6,CTB3M,CTB6M,CTB1Y,AUD,Brent,CAC-F,copper-F,WIT-oil,DAX-F,DJI-F,EUR,FTSE-F,gold-F,HSI-F,KOSPI-F,NASDAQ-F,GAS-F,Nikkei-F,NZD,silver-F,RUSSELL-F,S&P-F,CHF,Dollar index-F,Dollar index,wheat-F,XAG,XAU
11,2096.028,5203.7837,5721.837,5340.5835,4966.898,5821.5063,4515.9053,4522.9897,5208.724,4579.6357,5126.815,4353.019,3837.3318,2113.4697,2118.655,2107.5269,4583.1553,5134.2974,6715.2344,6788.6953,6609.6143,6562.7817,5149.1943,3419.7068,4780.312,4175.3735,4772.6445,4198.449,3477.214,3607.9507,5272.2,3927.9236,3992.0913,3984.0522,3442.4785,3843.4133,4485.8926,5118.1963,4560.071,5514.4785,5685.2827,4946.735,6518.543,5754.2363,4794.7207,4941.6206,5567.0063,4271.263,5665.926,5981.998,6490.099,6634.127,6729.739,3513.5447,6689.46,6735.1665,3363.2627,4806.7427,3361.8345,5041.5244,2984.781,4667.496,4854.026,3678.273,3282.9692,3778.382,4802.2256,3677.3997,3979.362,3959.297,4474.1396,5284.8774,4625.1,4002.2285,4654.3335,6180.934,4976.313,4764.606,4101.7803,5666.6724,5292.6567
12,2119.0652,5258.21,5381.3765,5171.8984,4753.6094,5607.019,4583.9067,4501.7363,4999.907,4808.701,5368.3315,4564.0044,4268.228,2207.059,2192.5884,2158.5105,4682.3906,4844.296,6619.011,6783.0674,6373.084,6281.3135,5048.0977,3657.9333,4664.4976,4235.56,4850.3843,4070.3667,3559.7122,3563.3203,5039.3726,4268.659,4248.347,4202.571,3647.9978,3872.941,4675.3823,4926.81,4468.235,5203.6265,5481.401,4801.801,6244.1123,5400.3584,4776.8843,4577.9854,5425.6963,4358.578,5395.111,5759.2,6352.6895,6416.894,6599.179,3751.9565,6527.2896,6590.175,3798.4202,4442.653,3608.5842,4713.865,3293.7224,4657.6743,4849.664,3984.5774,3418.138,3847.041,4570.8354,3798.8867,4068.9397,3960.0847,4475.182,5214.324,4429.8213,4200.4995,4654.5054,5772.274,4913.77,4734.0796,4061.632,5440.4917,5231.1475
13,2376.3352,5287.547,4826.845,5106.879,4470.6816,5199.7485,4505.059,4596.2725,4713.923,5052.489,5509.41,4533.143,4717.586,2794.796,2461.9172,2413.7417,4743.2856,4495.365,6378.4585,6615.948,5843.6855,5656.236,4896.438,4025.0425,4584.8716,4310.2505,5134.6665,3834.447,3676.7175,3564.1262,4553.422,4789.756,4668.896,4376.3257,3879.0574,3966.2056,4796.385,4591.0664,4307.803,4666.5967,5201.9478,4794.0903,5661.9053,5088.4287,4715.6436,4190.272,5331.042,4412.57,4899.223,5397.0376,6127.634,5758.073,6118.9897,4036.5315,5963.525,5816.218,4443.811,3986.5247,3973.442,4131.946,3835.9065,4558.4526,4628.812,4445.1636,3624.91,3953.3452,4090.488,3960.5215,4265.5186,3987.9675,4352.5117,5225.2075,4361.8364,4390.424,4667.9976,4969.8833,4915.2656,4658.1875,4131.4824,5271.5083,5125.184
14,2109.2402,5252.519,5479.2793,5204.209,4812.322,5669.245,4582.822,4503.4453,5059.023,4748.243,5308.575,4540.6235,4167.6094,2170.2515,2166.7761,2139.4966,4655.682,4911.5005,6648.846,6785.935,6443.5625,6362.444,5071.09,3593.959,4692.4634,4213.0405,4805.305,4102.604,3544.025,3583.354,5096.025,4161.49,4186.8784,4155.1216,3603.7546,3856.746,4619.103,4987.131,4504.019,5287.9053,5537.4507,4821.5537,6325.522,5477.2207,4779.8223,4647.9365,5457.3257,4331.41,5468.2466,5810.5,6381.566,6486.811,6646.114,3696.4583,6579.3804,6644.879,3684.3425,4532.4185,3548.6514,4812.723,3219.2358,4664.221,4858.7114,3913.8794,3393.1157,3837.082,4639.8833,3766.414,4040.686,3959.5105,4480.11,5217.968,4476.0024,4167.3647,4651.4004,5889.464,4926.982,4726.439,4056.1743,5497.685,5242.6753
15,2243.7686,5278.421,5011.2095,5092.567,4502.0557,5354.3755,4559.8022,4489.3833,4774.92,5007.621,5562.3687,4630.9014,4629.868,2545.5483,2375.3838,2310.4602,4743.7524,4617.3687,6454.8936,6721.0015,5992.067,5824.8574,4936.8594,3878.8403,4578.8584,4319.352,5016.268,3960.3323,3648.8164,3546.8237,4781.4155,4590.0967,4496.8223,4349.716,3829.3472,3884.4924,4794.308,4723.295,4352.881,4857.5366,5264.76,4763.001,5792.3647,5134.8564,4766.4023,4345.2007,5311.5913,4441.73,5100.4233,5521.0063,6190.9673,6020.5015,6280.568,3987.8057,6194.7686,6156.479,4245.408,4108.735,3883.916,4351.7773,3635.0015,4616.05,4771.024,4242.538,3576.9382,3927.1118,4318.8237,3929.6877,4211.9873,4021.239,4423.287,5175.843,4248.685,4358.999,4681.163,5229.423,4865.421,4674.5127,4066.2024,5232.3613,5159.783
16,2377.2683,5284.5547,4827.8604,5106.616,4471.0405,5201.881,4512.472,4596.0083,4715.062,5054.575,5512.3228,4539.275,4722.0747,2798.416,2466.4573,2418.6042,4741.2266,4492.6533,6375.7046,6615.439,5841.481,5652.2354,4889.449,4022.8809,4582.284,4307.4062,5127.7163,3833.8596,3678.0908,3565.6865,4552.2007,4783.07,4667.3125,4376.4727,3877.9734,3966.0945,4796.103,4591.43,4306.348,4664.054,5200.082,4791.3857,5657.6265,5081.3096,4714.2246,4188.7847,5328.141,4414.2993,4899.165,5394.3477,6123.293,5756.504,6114.9556,4038.7769,5961.518,5817.999,4443.589,3989.247,3972.6353,4143.331,3835.5134,4558.434,4627.896,4447.452,3626.178,3954.1265,4092.0974,3960.1873,4268.6904,3987.5432,4356.7285,5220.046,4359.4053,4393.2817,4665.9644,4969.358,4909.0327,4654.6133,4129.6416,5270.537,5128.1187
17,2246.8855,5277.4883,4995.0005,5098.2837,4537.666,5363.378,4578.627,4551.7603,4780.597,4954.906,5468.393,4541.015,4546.8726,2528.7024,2376.969,2308.1838,4727.65,4608.2334,6444.7666,6720.155,6003.276,5840.2173,4951.9395,3919.2783,4595.683,4306.4873,5033.932,3906.739,3644.8972,3549.6177,4755.6733,4626.3296,4504.3706,4370.552,3832.815,3937.0464,4790.171,4648.5176,4317.715,4884.7344,5242.8203,4753.8564,5809.433,5161.444,4780.676,4343.3286,5312.097,4420.8525,5123.628,5512.9307,6193.942,6019.656,6278.897,4008.2056,6171.806,6133.091,4263.1826,4112.4727,3851.456,4322.2,3664.884,4595.9033,4772.342,4285.26,3536.4973,3910.86,4265.9326,3933.4155,4216.6797,3990.6858,4412.4106,5192.8804,4290.5317,4335.9014,4663.502,5218.5947,4900.608,4687.4097,4086.9214,5267.8916,5162.1313
18,2373.229,5281.6,4828.856,5122.012,4470.0796,5204.2056,4466.049,4596.44,4704.2,5024.5054,5460.292,4471.037,4665.877,2750.5032,2434.5134,2379.8047,4732.9497,4514.12,6390.061,6621.197,5869.9775,5681.545,4916.36,4029.3389,4602.3115,4328.3896,5172.4316,3832.7026,3674.531,3566.3442,4549.0215,4793.033,4671.0923,4359.0356,3876.0916,3973.8696,4771.556,4571.293,4305.01,4685.214,5199.6626,4815.1714,5673.588,5141.167,4729.775,4235.6006,5341.287,4388.395,4910.3135,5405.665,6135.437,5789.6533,6145.4146,4036.1096,5966.6475,5811.1,4447.2617,3967.1504,3969.9136,4092.5024,3838.6663,4550.7075,4624.1997,4422.013,3606.791,3944.143,4075.2466,3961.376,4265.471,3993.184,4332.465,5234.695,4365.375,4374.6143,4673.589,4976.198,4949.4966,4652.8184,4134.1753,5270.083,5106.8096
19,2376.086,5284.396,4828.033,5110.6,4470.7046,5201.454,4499.481,4596.1064,4711.7593,5046.3457,5499.1577,4520.1943,4706.237,2786.0076,2457.4512,2407.348,4739.0347,4499.476,6379.9165,6616.954,5848.7017,5659.6885,4896.887,4024.4697,4588.381,4313.137,5139.9414,3834.1257,3677.084,3565.7493,4551.927,4786.3164,4669.2817,4372.2217,3877.5977,3968.105,4790.5244,4586.2617,4306.4385,4669.3706,5200.7925,4797.461,5661.898,5097.6274,4718.8623,4201.02,5331.9854,4407.0176,4902.539,5397.9,6126.9756,5765.517,6123.2134,4038.4617,5963.3726,5815.762,4444.811,3982.9321,3971.6663,4128.107,3836.2034,4556.618,4627.4185,4439.901,3620.989,3951.1755,4087.6357,3959.9805,4267.0903,3988.945,4350.3228,5224.5444,4361.1133,4388.74,4668.556,4970.6353,4920.002,4654.478,4130.346,5270.725,5121.4805
20,2348.2805,5288.1978,4864.923,5091.277,4450.9805,5208.409,4495.094,4541.9087,4706.489,5074.9673,5553.38,4629.488,4755.069,2798.6938,2459.0671,2408.0144,4758.7705,4493.4556,6400.283,6639.5522,5832.096,5646.0586,4891.884,3991.8445,4592.2754,4334.328,5105.2446,3874.1765,3687.628,3568.5532,4618.051,4743.9624,4664.3994,4369.105,3897.209,3938.2026,4810.0137,4672.9966,4333.0786,4645.908,5202.693,4810.131,5671.4146,5056.9263,4695.0977,4199.8037,5321.4956,4399.6626,4895.292,5408.168,6136.509,5780.129,6139.7554,4039.5183,6009.35,5883.1807,4424.685,4009.165,3987.3606,4184.1704,3835.378,4576.8105,4649.9014,4391.4863,3652.294,3987.9492,4151.1934,3950.5117,4268.305,3983.975,4389.9077,5233.1953,4331.504,4403.1567,4654.877,5004.3306,4890.5635,4650.865,4104.228,5253.777,5120.3667
21,2333.763,5284.1997,4873.654,5109.818,4493.668,5249.088,4488.044,4581.904,4721.6675,4999.9155,5456.854,4462.2266,4619.535,2676.9026,2411.2637,2348.1716,4724.1016,4548.205,6408.8154,6655.424,5907.7046,5728.042,4918.315,3988.9783,4610.6846,4328.103,5149.6123,3856.2751,3670.2,3568.1968,4599.599,4748.173,4627.1665,4360.1113,3856.2878,3972.5198,4766.768,4583.9453,4303.104,4738.4277,5212.0083,4801.098,5703.3657,5161.779,4749.43,4289.335,5338.5127,4392.724,4974.1216,5442.4146,6142.5195,5862.591,6183.3535,4033.741,6022.935,5894.413,4395.542,3995.4163,3941.349,4145.1494,3793.6729,4564.9087,4652.7573,4372.654,3572.0676,3928.9905,4120.3315,3951.743,4254.2554,3999.7947,4350.322,5224.9297,4336.3433,4362.1675,4672.3213,5038.4297,4939.123,4654.6567,4110.596,5255.9297,5112.8965
22,2182.2512,5266.7383,5118.564,5121.3433,4591.8755,5443.1875,4590.624,4510.3477,4843.6895,4935.199,5449.1626,4565.829,4463.261,2386.2227,2299.4053,2240.7256,4742.1147,4682.9634,6510.1274,6757.335,6140.091,6015.139,4999.59,3839.119,4631.2354,4308.811,4962.5396,3958.3215,3600.1746,3526.5881,4860.8325,4532.5103,4419.1113,4310.9106,3774.0837,3927.3071,4794.5522,4738.973,4372.334,4996.6533,5318.585,4762.8896,5972.817,5225.816,4785.246,4406.445,5342.4053,4404.8975,5216.533,5604.0767,6261.5254,6167.5156,6410.961,3906.521,6316.3857,6340.379,4117.9683,4205.283,3758.4702,4444.465,3527.8508,4633.552,4816.747,4187.41,3474.7708,3876.385,4351.743,3890.2979,4149.1475,3972.6492,4448.293,5214.155,4324.0312,4274.865,4646.8613,5422.6045,4897.6113,4725.334,4072.2024,5309.829,5201.5513
23,2374.694,5280.2363,4829.3374,5117.114,4470.7046,5204.267,4485.2383,4596.662,4707.8994,5033.895,5478.732,4494.103,4683.926,2768.0774,2447.1523,2394.0493,4733.021,4508.3433,6384.114,6619.2725,5859.921,5669.043,4901.96,4024.9229,4595.3657,4319.4443,5153.9062,3833.7097,3677.2727,3567.4065,4550.601,4784.5728,4670.053,4365.194,3875.7852,3971.5513,4780.861,4577.135,4304.7114,4676.194,5199.752,4805.155,5665.5366,5118.1875,4725.375,4221.1606,5335.102,4396.1533,4908.4023,5401.109,6129.041,5779.696,6133.0415,4040.254,5964.9604,5815.0215,4446.6113,3975.6362,3968.9243,4115.036,3836.6482,4553.1797,4625.2407,4429.6147,3613.429,3947.3254,4082.063,3960.191,4268.3613,3990.5593,4343.4697,5226.1904,4361.3057,4383.671,4670.7476,4972.6104,4931.6895,4651.142,4130.47,5270.5903,5113.8804
24,2219.952,5282.034,5038.696,5098.084,4552.7334,5389.2905,4586.4927,4531.9805,4806.6875,4956.0244,5470.7617,4564.1187,4527.961,2477.6309,2350.2405,2284.1682,4740.3804,4631.789,6470.0405,6736.9043,6051.344,5901.723,4969.2314,3894.2317,4606.665,4307.3877,5008.0435,3924.013,3629.7957,3537.0818,4799.2783,4599.652,4470.239,4353.1606,3813.9268,3930.0764,4800.185,4690.0454,4344.9365,4926.547,5273.655,4751.4478,5869.6797,5178.4404,4783.0137,4360.078,5319.7695,4415.687,5155.591,5546.438,6220.368,6068.981,6328.4844,3962.0623,6227.8066,6214.939,4209.8687,4147.061,3819.775,4364.882,3618.1326,4614.58,4792.164,4250.2485,3515.5442,3900.173,4300.0,3921.8965,4188.013,3986.7173,4427.3296,5202.825,4303.8364,4315.957,4657.522,5294.602,4894.2646,4702.3833,4081.875,5278.686,5184.146
25,2378.856,5283.0503,4829.908,5108.8594,4440.2065,5172.529,4464.965,4554.2393,4693.09,5075.435,5534.096,4589.8833,4759.4946,2835.5415,2463.0825,2416.8733,4759.451,4483.6646,6389.503,6612.2837,5819.178,5626.8584,4899.476,4021.5251,4590.1416,4339.7793,5141.3345,3854.7769,3688.6006,3564.3884,4573.531,4782.5034,4697.0435,4358.179,3904.8264,3938.6372,4803.225,4645.2314,4331.4106,4621.5723,5197.325,4820.417,5653.082,5073.933,4696.9097,4184.1743,5324.713,4392.5146,4862.684,5388.0054,6135.607,5740.293,6122.666,4038.4253,5968.175,5812.7373,4459.2876,3978.957,3999.7925,4119.287,3857.4634,4558.6914,4625.349,4418.899,3667.109,3986.874,4107.48,3956.269,4269.714,3984.598,4368.028,5239.9814,4355.4604,4403.8506,4660.5186,4958.9907,4916.201,4651.82,4120.2773,5261.1367,5108.607
26,2125.4429,5267.6387,5333.6714,5137.155,4704.0933,5566.077,4560.563,4465.32,4963.063,4870.153,5473.63,4632.5737,4386.4287,2235.3872,2211.0203,2172.8513,4690.972,4816.182,6604.2456,6780.782,6328.817,6219.893,5007.669,3676.3103,4620.8765,4233.8203,4882.827,4096.656,3575.6553,3555.5076,5028.9355,4303.9443,4264.692,4222.673,3658.783,3846.1116,4697.607,4940.301,4471.565,5140.64,5468.4214,4794.017,6183.012,5342.9243,4765.476,4571.249,5410.47,4381.288,5335.9546,5740.3228,6330.8125,6378.59,6566.335,3769.0596,6505.079,6556.4385,3852.9333,4387.6895,3667.6716,4680.9224,3313.8997,4664.5635,4842.284,3980.2864,3455.4321,3851.5723,4582.1846,3819.857,4091.4763,3983.5266,4476.522,5188.6353,4378.022,4246.9883,4687.0386,5707.188,4876.122,4718.614,4059.1458,5380.427,5225.5723
27,2351.1646,5287.2344,4852.4624,5101.468,4484.2207,5229.1104,4512.638,4590.1265,4724.823,5034.0205,5499.8037,4523.4106,4686.424,2742.241,2444.2915,2390.5176,4738.502,4516.524,6391.033,6638.4365,5872.403,5689.509,4901.813,4004.1301,4588.923,4310.798,5127.377,3846.6802,3674.5576,3564.0742,4584.2046,4766.15,4641.2017,4376.0234,3868.4265,3966.4573,4792.204,4594.9805,4306.316,4701.1675,5208.3735,4788.81,5684.547,5106.9927,4728.328,4225.9233,5329.7163,4412.206,4937.062,5419.423,6135.4263,5805.605,6145.584,4033.7114,5998.635,5867.558,4414.3433,4002.6135,3956.2737,4158.401,3809.7297,4564.8506,4645.275,4415.8145,3603.417,3945.0193,4115.8936,3958.1523,4259.752,3990.8745,4358.68,5220.4854,4346.36,4379.8384,4667.9927,5007.988,4913.6655,4662.394,4122.4443,5265.8223,5128.809
28,2376.1045,5280.353,4824.356,5117.716,4457.6484,5190.7515,4466.156,4580.802,4705.4985,5044.182,5489.5264,4508.8154,4703.0835,2781.9368,2444.1606,2393.8733,4749.8413,4505.8423,6390.3916,6615.5645,5855.33,5666.951,4914.446,4024.1526,4591.2754,4334.0547,5165.4785,3839.6833,3678.7373,3558.4895,4558.6445,4796.2515,4680.9585,4358.1865,3885.7244,3954.4927,4790.1235,4593.8726,4316.482,4665.731,5201.855,4811.1367,5669.5894,5120.715,4725.35,4213.33,5332.2153,4397.095,4898.281,5401.135,6140.663,5769.4263,6137.997,4032.287,5968.9683,5810.9263,4447.505,3971.4768,3977.211,4093.1301,3835.5854,4552.0137,4625.673,4422.979,3630.175,3959.3271,4087.669,3962.3545,4260.2466,3991.913,4343.1426,5234.6514,4360.3696,4383.011,4671.954,4967.596,4940.747,4664.359,4130.9966,5264.0923,5109.454
